data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38355,9050000000,9060000000,8920000000,9020000000,6867215332,10925000
38356,9000000000,9020000000,8920000000,8940000000,6806309082,14015000
38357,8800000000,8860000000,8730000000,8860000000,6745401367,23365000
38358,8780000000,8910000000,8700000000,8700000000,6623588379,17150000
38359,8820000000,8830000000,8710000000,8810000000,6707335449,13615000
38362,8840000000,8840000000,8750000000,8760000000,6669267090,12505000
38363,8760000000,8840000000,8670000000,8840000000,6730174805,27855000
38364,8870000000,8880000000,8800000000,8840000000,6730174805,14720000
38365,8840000000,8940000000,8820000000,8880000000,6760628418,23695000
38366,8800000000,9480000000,8790000000,9430000000,7179358887,71900000
38369,9800000000,9890000000,9650000000,9850000000,7499122070,61795000
38370,9800000000,9810000000,9690000000,9720000000,7400145996,30240000
38371,9720000000,9770000000,9580000000,9600000000,7308786133,22850000
38372,9600000000,9700000000,9510000000,9600000000,7308786133,19270000
38373,9500000000,9720000000,9500000000,9720000000,7400145996,15030000
38376,9650000000,9760000000,9550000000,9760000000,7430599121,19070000
38377,9600000000,9700000000,9580000000,9670000000,7362080078,18165000
38378,9700000000,9870000000,9690000000,9810000000,7468664551,24885000
38379,9900000000,9900000000,9810000000,9840000000,7491504883,19990000
38380,9830000000,9830000000,9600000000,9780000000,7445827637,14220000
38383,9760000000,9900000000,9680000000,9900000000,7537187988,16465000
38384,9900000000,9970000000,9830000000,9830000000,7483893066,21855000
38385,9830000000,9880000000,9730000000,9810000000,7468664551,19750000
38386,9720000000,9940000000,9720000000,9920000000,7552413574,17445000
38387,9880000000,9970000000,9860000000,9910000000,7544800781,12855000
38390,10120000000,10240000000,10060000000,10200000000,7765586426,33935000
38391,10200000000,10200000000,10200000000,10200000000,7765586426,0
38392,10200000000,10200000000,10200000000,10200000000,7765586426,0
38393,10200000000,10200000000,10200000000,10200000000,7765586426,0
38394,10100000000,10180000000,10020000000,10120000000,7704677734,25885000
38397,10260000000,10440000000,10200000000,10340000000,7872173828,28265000
38398,10400000000,10420000000,10220000000,10380000000,7902623047,26745000
38399,10440000000,10620000000,10360000000,10400000000,7917854492,24010000
38400,10340000000,10440000000,10300000000,10340000000,7872173828,17510000
38401,10360000000,10540000000,10280000000,10540000000,8024441406,18355000
38404,10600000000,10640000000,10480000000,10560000000,8039665527,23430000
38405,10560000000,10580000000,10360000000,10440000000,7948305664,17855000
38406,10280000000,10320000000,10180000000,10220000000,7780813477,19745000
38407,10200000000,10400000000,10140000000,10380000000,7902623047,20985000
38408,10480000000,10580000000,10420000000,10440000000,7948305664,20880000
38411,10600000000,10620000000,10420000000,10540000000,8024441406,27705000
38412,10540000000,10540000000,10540000000,10540000000,8024441406,0
38413,10500000000,10560000000,10340000000,10340000000,7872173828,27425000
38414,10300000000,10520000000,10240000000,10380000000,7902623047,30335000
38415,10340000000,10340000000,10160000000,10200000000,7765586426,24410000
38418,10300000000,10300000000,10000000000,10140000000,7719906738,29515000
38419,10140000000,10160000000,10000000000,10040000000,7643772461,26380000
38420,9980000000,10000000000,9830000000,10000000000,7613319824,24890000
38421,10060000000,10160000000,9990000000,9990000000,7605706543,31630000
38422,10140000000,10380000000,10080000000,10380000000,7902623047,32010000
38425,10260000000,10320000000,10160000000,10200000000,7765586426,20845000
38426,10240000000,10280000000,9980000000,10040000000,7643772461,25030000
38427,9980000000,10080000000,9910000000,10060000000,7659000488,18545000
38428,9860000000,9970000000,9840000000,9920000000,7552413574,20875000
38429,9860000000,9960000000,9860000000,9900000000,7537187988,12750000
38432,9830000000,9980000000,9800000000,9840000000,7491504883,16770000
38433,9860000000,10020000000,9790000000,9920000000,7552413574,15795000
38434,9860000000,9990000000,9830000000,9970000000,7590479980,15920000
38435,10020000000,10120000000,9950000000,10060000000,7659000488,20100000
38436,10100000000,10120000000,10000000000,10100000000,7689453125,10875000
38439,10200000000,10220000000,10140000000,10200000000,7765586426,8980000
38440,10200000000,10220000000,10000000000,10040000000,7643772461,16855000
38441,9880000000,9990000000,9880000000,9960000000,7582866211,18145000
38442,10120000000,10140000000,10020000000,10040000000,7643772461,17335000
38443,10040000000,10320000000,10000000000,10240000000,7796039063,22655000
38446,10240000000,10340000000,10200000000,10340000000,7872173828,17215000
38447,10340000000,10340000000,10340000000,10340000000,7872173828,0
38448,10360000000,10400000000,10200000000,10360000000,7887396973,20505000
38449,10360000000,10400000000,10300000000,10360000000,7887396973,17855000
38450,10480000000,10500000000,10400000000,10440000000,7948305664,13945000
